---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|   timestamp   |                                                                                                                                                           message                                                                                                                                                            |         logStreamName          |
| 1636517096000 | 2021-11-10 04:04:55,855 [INFO ] W-9000-model com.amazonaws.ml.mms.wlm.WorkerThread - Backend response time: 269                                                                                                                                                                                                              | AllTraffic/i-07ba2e0c345a396ff |
| 1636517096000 | 2021-11-10 04:04:55,856 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -     ret = self._entry_point(input_batch, self.context)                                                                                                                                                                        | AllTraffic/i-07ba2e0c345a396ff |
| 1636517096000 | 2021-11-10 04:04:55,856 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -   File "/opt/conda/lib/python3.6/site-packages/sagemaker_inference/default_handler_service.py", line 31, in handle                                                                                                            | AllTraffic/i-07ba2e0c345a396ff |
| 1636517096000 | 2021-11-10 04:04:55,856 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -     return self._service.transform(data, context)                                                                                                                                                                             | AllTraffic/i-07ba2e0c345a396ff |
| 1636517096000 | 2021-11-10 04:04:55,857 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -   File "/opt/conda/lib/python3.6/site-packages/sagemaker_inference/transformer.py", line 55, in transform                                                                                                                     | AllTraffic/i-07ba2e0c345a396ff |
| 1636517096000 | 2021-11-10 04:04:55,857 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -     self.validate_and_initialize()                                                                                                                                                                                            | AllTraffic/i-07ba2e0c345a396ff |
| 1636517096000 | 2021-11-10 04:04:55,858 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -   File "/opt/conda/lib/python3.6/site-packages/sagemaker_inference/transformer.py", line 92, in validate_and_initialize                                                                                                       | AllTraffic/i-07ba2e0c345a396ff |
| 1636517096000 | 2021-11-10 04:04:55,858 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -     self._validate_user_module_and_set_functions()                                                                                                                                                                            | AllTraffic/i-07ba2e0c345a396ff |
| 1636517096000 | 2021-11-10 04:04:55,858 [INFO ] W-9000-model ACCESS_LOG - /169.254.178.2:60560 "POST /invocations HTTP/1.1" 503 277                                                                                                                                                                                                          | AllTraffic/i-07ba2e0c345a396ff |
| 1636517096000 | 2021-11-10 04:04:55,858 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -   File "/opt/conda/lib/python3.6/site-packages/sagemaker_inference/transformer.py", line 103, in _validate_user_module_and_set_functions                                                                                      | AllTraffic/i-07ba2e0c345a396ff |
| 1636517096000 | 2021-11-10 04:04:55,859 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -     user_module = importlib.import_module(self._environment.module_name)                                                                                                                                                      | AllTraffic/i-07ba2e0c345a396ff |
| 1636517096000 | 2021-11-10 04:04:55,859 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -   File "/opt/conda/lib/python3.6/importlib/__init__.py", line 126, in import_module                                                                                                                                           | AllTraffic/i-07ba2e0c345a396ff |
| 1636517096000 | 2021-11-10 04:04:55,860 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -     return _bootstrap._gcd_import(name[level:], package, level)                                                                                                                                                               | AllTraffic/i-07ba2e0c345a396ff |
| 1636517096000 | 2021-11-10 04:04:55,860 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -   File "<frozen importlib._bootstrap>", line 994, in _gcd_import                                                                                                                                                              | AllTraffic/i-07ba2e0c345a396ff |
| 1636517096000 | 2021-11-10 04:04:55,861 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -   File "<frozen importlib._bootstrap>", line 971, in _find_and_load                                                                                                                                                           | AllTraffic/i-07ba2e0c345a396ff |
| 1636517096000 | 2021-11-10 04:04:55,861 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -   File "<frozen importlib._bootstrap>", line 955, in _find_and_load_unlocked                                                                                                                                                  | AllTraffic/i-07ba2e0c345a396ff |
| 1636517096000 | 2021-11-10 04:04:55,863 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -   File "<frozen importlib._bootstrap>", line 665, in _load_unlocked                                                                                                                                                           | AllTraffic/i-07ba2e0c345a396ff |
| 1636517096000 | 2021-11-10 04:04:55,864 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -   File "<frozen importlib._bootstrap_external>", line 678, in exec_module                                                                                                                                                     | AllTraffic/i-07ba2e0c345a396ff |
| 1636517096000 | 2021-11-10 04:04:55,864 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -   File "<frozen importlib._bootstrap>", line 219, in _call_with_frames_removed                                                                                                                                                | AllTraffic/i-07ba2e0c345a396ff |
| 1636517096000 | 2021-11-10 04:04:55,864 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -   File "/opt/ml/model/code/predict.py", line 16, in <module>                                                                                                                                                                  | AllTraffic/i-07ba2e0c345a396ff |
| 1636517096000 | 2021-11-10 04:04:55,864 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -     from utils import review_to_words, convert_and_pad                                                                                                                                                                        | AllTraffic/i-07ba2e0c345a396ff |
| 1636517096000 | 2021-11-10 04:04:55,864 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -   File "/opt/ml/model/code/utils.py", line 1, in <module>                                                                                                                                                                     | AllTraffic/i-07ba2e0c345a396ff |
| 1636517096000 | 2021-11-10 04:04:55,864 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -     import nltk                                                                                                                                                                                                               | AllTraffic/i-07ba2e0c345a396ff |
| 1636517097251 | 2021-11-10 04:04:55,865 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle - ModuleNotFoundError: No module named 'nltk'                                                                                                                                                                                   | AllTraffic/i-07ba2e0c345a396ff |
| 1636517102255 | 2021-11-10 04:04:57,110 [INFO ] pool-1-thread-2 ACCESS_LOG - /169.254.178.2:60602 "GET /ping HTTP/1.1" 200 1                                                                                                                                                                                                                 | AllTraffic/i-07ba2e0c345a396ff |
| 1636517107260 | 2021-11-10 04:05:02,106 [INFO ] pool-1-thread-2 ACCESS_LOG - /169.254.178.2:60602 "GET /ping HTTP/1.1" 200 0                                                                                                                                                                                                                 | AllTraffic/i-07ba2e0c345a396ff |
| 1636517112265 | 2021-11-10 04:05:07,106 [INFO ] pool-1-thread-2 ACCESS_LOG - /169.254.178.2:60602 "GET /ping HTTP/1.1" 200 0                                                                                                                                                                                                                 | AllTraffic/i-07ba2e0c345a396ff |
| 1636517117270 | 2021-11-10 04:05:12,106 [INFO ] pool-1-thread-2 ACCESS_LOG - /169.254.178.2:60602 "GET /ping HTTP/1.1" 200 0                                                                                                                                                                                                                 | AllTraffic/i-07ba2e0c345a396ff |
