timestamp,message,logStreamName
1636337949612,"2021-11-08 02:19:09,476 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -     self._validate_user_module_and_set_functions()",AllTraffic/i-05b4c405ca1171650
1636337949612,"2021-11-08 02:19:09,477 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -   File ""/opt/conda/lib/python3.6/site-packages/sagemaker_inference/transformer.py"", line 103, in _validate_user_module_and_set_functions",AllTraffic/i-05b4c405ca1171650
1636337949612,"2021-11-08 02:19:09,477 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -     user_module = importlib.import_module(self._environment.module_name)",AllTraffic/i-05b4c405ca1171650
1636337949612,"2021-11-08 02:19:09,477 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -   File ""/opt/conda/lib/python3.6/importlib/__init__.py"", line 126, in import_module",AllTraffic/i-05b4c405ca1171650
1636337949612,"2021-11-08 02:19:09,477 [INFO ] W-9000-model ACCESS_LOG - /169.254.178.2:46752 ""POST /invocations HTTP/1.1"" 503 227",AllTraffic/i-05b4c405ca1171650
1636337949612,"2021-11-08 02:19:09,477 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -     return _bootstrap._gcd_import(name[level:], package, level)",AllTraffic/i-05b4c405ca1171650
1636337949612,"2021-11-08 02:19:09,478 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -   File ""<frozen importlib._bootstrap>"", line 994, in _gcd_import",AllTraffic/i-05b4c405ca1171650
1636337949612,"2021-11-08 02:19:09,478 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -   File ""<frozen importlib._bootstrap>"", line 971, in _find_and_load",AllTraffic/i-05b4c405ca1171650
1636337949612,"2021-11-08 02:19:09,478 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -   File ""<frozen importlib._bootstrap>"", line 955, in _find_and_load_unlocked",AllTraffic/i-05b4c405ca1171650
1636337949612,"2021-11-08 02:19:09,478 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -   File ""<frozen importlib._bootstrap>"", line 665, in _load_unlocked",AllTraffic/i-05b4c405ca1171650
1636337949612,"2021-11-08 02:19:09,479 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -   File ""<frozen importlib._bootstrap_external>"", line 678, in exec_module",AllTraffic/i-05b4c405ca1171650
1636337949612,"2021-11-08 02:19:09,479 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -   File ""<frozen importlib._bootstrap>"", line 219, in _call_with_frames_removed",AllTraffic/i-05b4c405ca1171650
1636337949612,"2021-11-08 02:19:09,487 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -   File ""/opt/ml/model/code/predict.py"", line 16, in <module>",AllTraffic/i-05b4c405ca1171650
1636337949612,"2021-11-08 02:19:09,489 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -     from utils import review_to_words, convert_and_pad",AllTraffic/i-05b4c405ca1171650
1636337949612,"2021-11-08 02:19:09,490 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -   File ""/opt/ml/model/code/utils.py"", line 1, in <module>",AllTraffic/i-05b4c405ca1171650
1636337949612,"2021-11-08 02:19:09,490 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle -     import nltk",AllTraffic/i-05b4c405ca1171650
1636337951864,"2021-11-08 02:19:09,491 [INFO ] W-9000-model-stdout com.amazonaws.ml.mms.wlm.WorkerLifeCycle - ModuleNotFoundError: No module named 'nltk'",AllTraffic/i-05b4c405ca1171650
